gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM5135721,Liver MPS co-culture tissue,Lean_Fructose_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean_Fructose_Cholesterol,SRA,Liver_MPS_Lean_Fructose_Cholesterol,,,NAFT18013_P2A2_D14_14_S4
GSM5135722,Liver MPS co-culture tissue,Fat_Fructose_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_Fructose_Cholesterol,SRA,Liver_MPS_Fat_Fructose_Cholesterol,,,NAFT18013_P2A6_D14_18_S7
GSM5135723,Liver MPS co-culture tissue,Fat_Fructose_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_Fructose_TGF-B,SRA,Liver_MPS_Fat_Fructose_TGF-B,,,NAFT18013_P2B4_D14_22_S10
GSM5135724,Liver MPS co-culture tissue,Reduced_NPC_Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean,SRA,Liver_MPS_Reduced_NPC_Lean,,,NAFT18013_P3A2_D14_26_S13
GSM5135725,Liver MPS co-culture tissue,Reduced_NPC_Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat,SRA,Liver_MPS_Reduced_NPC_Fat,,,NAFT18013_P3A6_D14_30_S16
GSM5135726,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS_Fructose,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS_Fructose,SRA,Liver_MPS_Reduced_NPC_Fat_LPS_Fructose,,,NAFT18013_P3B4_D14_34_S19
GSM5135727,Liver MPS co-culture tissue,Reduced_NPC_Lean_Fructose_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_Fructose_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Lean_Fructose_Cholesterol,,,NAFT18013_P4A2_D14_38_S22
GSM5135728,Liver MPS co-culture tissue,Reduced_NPC_Fat_Fructose_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_Fructose_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Fat_Fructose_Cholesterol,,,NAFT18013_P4A6_D14_42_S2
GSM5135729,Liver MPS co-culture tissue,Reduced_NPC_Fat_Fructose_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_Fructose_TGF-B,SRA,Liver_MPS_Reduced_NPC_Fat_Fructose_TGF-B,,,NAFT18013_P4B4_D14_46_S5
GSM5135730,Liver MPS co-culture tissue,Fat_LPS_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_LPS_Cholesterol,SRA,Liver_MPS_Fat_LPS_Cholesterol,,,NAFT18014_P1B4_D14_94_S9
