gsm,canon__sex,canon__stage,canon__steatosis_grade,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__Stage,raw__balloning,raw__cell line,raw__cell type,raw__chip antibody,raw__fibrosis nas_tidy,raw__genotype,raw__lobular inflammation,raw__lobular necrosis,raw__steatosis,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8260231,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510403,,SLR4892_nor_H3K27ac_cutrun
GSM8260232,M,NASH_F1,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F1,1,,,H3K27ac,1,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510404,,CIW710_nash_f1_H3K27ac_cutrun
GSM8260233,M,NASH_F0,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F0,1,,,H3K27ac,0,,1,0,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510405,,KQC337_nash_f0_H3K27ac_cutrun
GSM8260234,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510406,,XPP673_nor_H3K27ac_cutrun
GSM8260235,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510407,,KXW719_nafl_H3K27ac_cutrun
GSM8260236,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510408,,KUV229_nor_H3K27ac_cutrun
GSM8260237,F,NASH_F0,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,2,,,H3K27ac,0,,1,0,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510409,,LQF210_nash_f0_H3K27ac_cutrun
GSM8260238,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510410,,CFH377_nor_H3K27ac_cutrun
GSM8260239,F,NASH_F23,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F23,2,,,H3K27ac,2,,2,1,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510411,,EXK318_nash_f23_H3K27ac_cutrun
GSM8260240,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510412,,BQG343_nafl_H3K27ac_cutrun
GSM8260241,F,NASH_F1,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F1,1,,,H3K27ac,1,,2,2,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510413,,QKY201_nash_f1_H3K27ac_cutrun
GSM8260242,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510414,,IMD704_nafl_H3K27ac_cutrun
GSM8260243,F,NASH_F23,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F23,1,,,H3K27ac,2,,1,2,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510415,,JFL906_nash_f23_H3K27ac_cutrun
GSM8260244,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510416,,HYC397_nor_H3K27ac_cutrun
GSM8260245,F,NASH_F0,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,1,,,H3K27ac,0,,1,0,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510417,,RVO178_nash_f0_H3K27ac_cutrun
GSM8260246,M,NASH_F1,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F1,1,,,H3K27ac,1,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510418,,SPM565_nash_f1_H3K27ac_cutrun
GSM8260247,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510419,,EFT620_nafl_H3K27ac_cutrun
GSM8260248,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510420,,SRC524_nor_H3K27ac_cutrun
GSM8260249,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510421,,YVA544_nafl_H3K27ac_cutrun
