gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__batch,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9575172,Liver,SIM Vehicle Resmetirom 4,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SIM Vehicle Resmetirom 4,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438584,,Fa2N4_SIM_Veh_RSM4
GSM9575173,Liver,SIM Resmetirom 1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SIM Resmetirom 1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438585,,Fa2N4_SIM_RSM1
GSM9575174,Liver,SIM Resmetirom 2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SIM Resmetirom 2,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438586,,Fa2N4_SIM_RSM2
GSM9575175,Liver,SIM Resmetirom 3,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SIM Resmetirom 3,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438587,,Fa2N4_SIM_RSM3
GSM9575176,Liver,SIM Resmetirom 4,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SIM Resmetirom 4,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438588,,Fa2N4_SIM_RSM4
GSM9575177,Liver,SEQ Vehicle Resmetirom 1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SEQ Vehicle Resmetirom 1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438589,,Fa2N4_SEQ_Veh_RSM1
GSM9575178,Liver,SEQ Vehicle Resmetirom 2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SEQ Vehicle Resmetirom 2,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438590,,Fa2N4_SEQ_Veh_RSM2
GSM9575179,Liver,SEQ Vehicle Resmetirom 3,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SEQ Vehicle Resmetirom 3,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438591,,Fa2N4_SEQ_Veh_RSM3
GSM9575180,Liver,SEQ Vehicle Resmetirom 4,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SEQ Vehicle Resmetirom 4,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438592,,Fa2N4_SEQ_Veh_RSM4
GSM9575181,Liver,SEQ Resmetirom 1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SEQ Resmetirom 1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438593,,Fa2N4_SEQ_RSM1
GSM9575182,Liver,SEQ Resmetirom 2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SEQ Resmetirom 2,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438594,,Fa2N4_SEQ_RSM2
GSM9575183,Liver,SEQ Resmetirom 3,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SEQ Resmetirom 3,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438595,,Fa2N4_SEQ_RSM3
GSM9575184,Liver,SEQ Resmetirom 4,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SEQ Resmetirom 4,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438596,,Fa2N4_SEQ_RSM4
